"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1111","API 19: MasterData - Punch-in Sub-Reasons","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","1792","API 16: MasterData - Tehsils","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","367","API 3: Login User","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","989","API 23: MasterData - Mitigants","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","872","API 17: MasterData - Lead Source","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","1830","API 12: MasterData - Models","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","867","API 21: MasterData - Lenders","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","914","API 20: MasterData - Punch-in Meeting Reasons","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","1058","API 15: MasterData - Districts","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","1134","API 11: MasterData - Brands","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","972","API 9: Incentive Eligibility and Fuel Allowance","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","293","API 4: Delete User","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","939","API 14: MasterData - States","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","2073","API 13: MasterData - Years","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","955","API 10: MasterData - Vehicles","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","2109","API 8: PDD Pendency Summary","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","1063","API 22: MasterData - Partner Types","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","913","API 18: MasterData - Punch-in Reasons","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","3605","API 6: Monthly Performance Overview","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","2964","API 7: Attendance Summary","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","535","API 1: Get Users","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","323","API 2: Create User","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
"","152","API 5: Get Users","","2026-07-17","passed","2026-07-17","","🔐 Dynamic API Tests from CSV","",""
